GEO_ID,NAME,B01003_001E,B01003_001M
1500000US360050001000,"Block Group 0, Census Tract 1, Bronx County, New York",0,12
1500000US360050001001,"Block Group 1, Census Tract 1, Bronx County, New York",6600,684
1500000US360050002000,"Block Group 0, Census Tract 2, Bronx County, New York",0,12
1500000US360050002001,"Block Group 1, Census Tract 2, Bronx County, New York",1385,365
1500000US360050002002,"Block Group 2, Census Tract 2, Bronx County, New York",1542,627
1500000US360050002003,"Block Group 3, Census Tract 2, Bronx County, New York",1240,355
1500000US360050004000,"Block Group 0, Census Tract 4, Bronx County, New York",0,12
1500000US360050004001,"Block Group 1, Census Tract 4, Bronx County, New York",491,314
1500000US360050004002,"Block Group 2, Census Tract 4, Bronx County, New York",728,409
1500000US360050004003,"Block Group 3, Census Tract 4, Bronx County, New York",3817,913
1500000US360050004004,"Block Group 4, Census Tract 4, Bronx County, New York",648,281
1500000US360050016001,"Block Group 1, Census Tract 16, Bronx County, New York",3066,545
1500000US360050016002,"Block Group 2, Census Tract 16, Bronx County, New York",644,239
1500000US360050016003,"Block Group 3, Census Tract 16, Bronx County, New York",1308,428
1500000US360050016004,"Block Group 4, Census Tract 16, Bronx County, New York",899,335
1500000US360050019011,"Block Group 1, Census Tract 19.01, Bronx County, New York",1910,301
1500000US360050019021,"Block Group 1, Census Tract 19.02, Bronx County, New York",1334,305
1500000US360050019031,"Block Group 1, Census Tract 19.03, Bronx County, New York",0,12
1500000US360050019032,"Block Group 2, Census Tract 19.03, Bronx County, New York",0,12
1500000US360050019040,"Block Group 0, Census Tract 19.04, Bronx County, New York",0,12
1500000US360050019041,"Block Group 1, Census Tract 19.04, Bronx County, New York",0,12
1500000US360050019042,"Block Group 2, Census Tract 19.04, Bronx County, New York",0,12
1500000US360050020011,"Block Group 1, Census Tract 20.01, Bronx County, New York",2830,896
1500000US360050020012,"Block Group 2, Census Tract 20.01, Bronx County, New York",1198,528
1500000US360050020013,"Block Group 3, Census Tract 20.01, Bronx County, New York",809,510
1500000US360050020021,"Block Group 1, Census Tract 20.02, Bronx County, New York",815,542
1500000US360050020022,"Block Group 2, Census Tract 20.02, Bronx County, New York",2426,992
1500000US360050020023,"Block Group 3, Census Tract 20.02, Bronx County, New York",1527,814
1500000US360050023001,"Block Group 1, Census Tract 23, Bronx County, New York",2121,483
1500000US360050023002,"Block Group 2, Census Tract 23, Bronx County, New York",939,330
1500000US360050023003,"Block Group 3, Census Tract 23, Bronx County, New York",1457,375
1500000US360050024000,"Block Group 0, Census Tract 24, Bronx County, New York",0,12
1500000US360050024001,"Block Group 1, Census Tract 24, Bronx County, New York",0,12
1500000US360050025001,"Block Group 1, Census Tract 25, Bronx County, New York",929,401
1500000US360050025002,"Block Group 2, Census Tract 25, Bronx County, New York",1185,346
1500000US360050025003,"Block Group 3, Census Tract 25, Bronx County, New York",1411,447
1500000US360050025004,"Block Group 4, Census Tract 25, Bronx County, New York",1375,561
1500000US360050025005,"Block Group 5, Census Tract 25, Bronx County, New York",794,324
1500000US360050027011,"Block Group 1, Census Tract 27.01, Bronx County, New York",1182,329
1500000US360050027012,"Block Group 2, Census Tract 27.01, Bronx County, New York",1490,555
1500000US360050027021,"Block Group 1, Census Tract 27.02, Bronx County, New York",1095,488
1500000US360050027022,"Block Group 2, Census Tract 27.02, Bronx County, New York",867,327
1500000US360050027023,"Block Group 3, Census Tract 27.02, Bronx County, New York",1302,388
1500000US360050027024,"Block Group 4, Census Tract 27.02, Bronx County, New York",1240,429
1500000US360050028001,"Block Group 1, Census Tract 28, Bronx County, New York",1215,609
1500000US360050028002,"Block Group 2, Census Tract 28, Bronx County, New York",1905,449
1500000US360050028003,"Block Group 3, Census Tract 28, Bronx County, New York",1141,702
1500000US360050028004,"Block Group 4, Census Tract 28, Bronx County, New York",769,274
1500000US360050031001,"Block Group 1, Census Tract 31, Bronx County, New York",1858,435
1500000US360050033001,"Block Group 1, Census Tract 33, Bronx County, New York",782,327
1500000US360050033002,"Block Group 2, Census Tract 33, Bronx County, New York",1331,545
1500000US360050033003,"Block Group 3, Census Tract 33, Bronx County, New York",1027,491
1500000US360050035001,"Block Group 1, Census Tract 35, Bronx County, New York",534,227
1500000US360050035002,"Block Group 2, Census Tract 35, Bronx County, New York",1449,334
1500000US360050035003,"Block Group 3, Census Tract 35, Bronx County, New York",1755,814
1500000US360050037001,"Block Group 1, Census Tract 37, Bronx County, New York",222,102
1500000US360050038001,"Block Group 1, Census Tract 38, Bronx County, New York",1169,166
1500000US360050039001,"Block Group 1, Census Tract 39, Bronx County, New York",1578,724
1500000US360050039002,"Block Group 2, Census Tract 39, Bronx County, New York",428,289
1500000US360050039003,"Block Group 3, Census Tract 39, Bronx County, New York",1794,933
1500000US360050039004,"Block Group 4, Census Tract 39, Bronx County, New York",599,488
1500000US360050039005,"Block Group 5, Census Tract 39, Bronx County, New York",2337,831
1500000US360050040011,"Block Group 1, Census Tract 40.01, Bronx County, New York",1425,268
1500000US360050041001,"Block Group 1, Census Tract 41, Bronx County, New York",1023,431
1500000US360050041002,"Block Group 2, Census Tract 41, Bronx County, New York",1941,637
1500000US360050041003,"Block Group 3, Census Tract 41, Bronx County, New York",64,108
1500000US360050041004,"Block Group 4, Census Tract 41, Bronx County, New York",2837,890
1500000US360050042001,"Block Group 1, Census Tract 42, Bronx County, New York",822,479
1500000US360050042002,"Block Group 2, Census Tract 42, Bronx County, New York",1748,711
1500000US360050042003,"Block Group 3, Census Tract 42, Bronx County, New York",2333,1039
1500000US360050042004,"Block Group 4, Census Tract 42, Bronx County, New York",1227,693
1500000US360050042005,"Block Group 5, Census Tract 42, Bronx County, New York",987,728
1500000US360050042006,"Block Group 6, Census Tract 42, Bronx County, New York",0,12
1500000US360050042007,"Block Group 7, Census Tract 42, Bronx County, New York",672,381
1500000US360050043001,"Block Group 1, Census Tract 43, Bronx County, New York",1658,512
1500000US360050043002,"Block Group 2, Census Tract 43, Bronx County, New York",1466,354
1500000US360050043003,"Block Group 3, Census Tract 43, Bronx County, New York",1382,544
1500000US360050043004,"Block Group 4, Census Tract 43, Bronx County, New York",915,296
1500000US360050044001,"Block Group 1, Census Tract 44, Bronx County, New York",860,327
1500000US360050044002,"Block Group 2, Census Tract 44, Bronx County, New York",610,305
1500000US360050044003,"Block Group 3, Census Tract 44, Bronx County, New York",1848,523
1500000US360050044004,"Block Group 4, Census Tract 44, Bronx County, New York",1083,297
1500000US360050046001,"Block Group 1, Census Tract 46, Bronx County, New York",1854,370
1500000US360050048001,"Block Group 1, Census Tract 48, Bronx County, New York",2003,534
1500000US360050048002,"Block Group 2, Census Tract 48, Bronx County, New York",2754,573
1500000US360050050011,"Block Group 1, Census Tract 50.01, Bronx County, New York",885,393
1500000US360050050012,"Block Group 2, Census Tract 50.01, Bronx County, New York",1528,380
1500000US360050050013,"Block Group 3, Census Tract 50.01, Bronx County, New York",861,291
1500000US360050050014,"Block Group 4, Census Tract 50.01, Bronx County, New York",1191,382
1500000US360050050021,"Block Group 1, Census Tract 50.02, Bronx County, New York",2339,617
1500000US360050050022,"Block Group 2, Census Tract 50.02, Bronx County, New York",965,385
1500000US360050050023,"Block Group 3, Census Tract 50.02, Bronx County, New York",1770,840
1500000US360050050024,"Block Group 4, Census Tract 50.02, Bronx County, New York",1217,479
1500000US360050051001,"Block Group 1, Census Tract 51, Bronx County, New York",342,272
1500000US360050051002,"Block Group 2, Census Tract 51, Bronx County, New York",3545,1040
1500000US360050051003,"Block Group 3, Census Tract 51, Bronx County, New York",1971,566
1500000US360050052001,"Block Group 1, Census Tract 52, Bronx County, New York",639,277
1500000US360050052002,"Block Group 2, Census Tract 52, Bronx County, New York",1240,278
1500000US360050053001,"Block Group 1, Census Tract 53, Bronx County, New York",2893,585
1500000US360050053002,"Block Group 2, Census Tract 53, Bronx County, New York",2249,595
1500000US360050054001,"Block Group 1, Census Tract 54, Bronx County, New York",726,290
1500000US360050054002,"Block Group 2, Census Tract 54, Bronx County, New York",2272,769
1500000US360050054003,"Block Group 3, Census Tract 54, Bronx County, New York",1330,427
1500000US360050054004,"Block Group 4, Census Tract 54, Bronx County, New York",1026,365
1500000US360050056001,"Block Group 1, Census Tract 56, Bronx County, New York",910,199
1500000US360050056002,"Block Group 2, Census Tract 56, Bronx County, New York",536,161
1500000US360050056003,"Block Group 3, Census Tract 56, Bronx County, New York",667,246
1500000US360050059021,"Block Group 1, Census Tract 59.02, Bronx County, New York",1031,403
1500000US360050059022,"Block Group 2, Census Tract 59.02, Bronx County, New York",1604,334
1500000US360050060001,"Block Group 1, Census Tract 60, Bronx County, New York",1266,357
1500000US360050060002,"Block Group 2, Census Tract 60, Bronx County, New York",0,12
1500000US360050061001,"Block Group 1, Census Tract 61, Bronx County, New York",0,12
1500000US360050061002,"Block Group 2, Census Tract 61, Bronx County, New York",2835,630
1500000US360050061003,"Block Group 3, Census Tract 61, Bronx County, New York",1150,323
1500000US360050061004,"Block Group 4, Census Tract 61, Bronx County, New York",0,12
1500000US360050062001,"Block Group 1, Census Tract 62, Bronx County, New York",1062,622
1500000US360050062002,"Block Group 2, Census Tract 62, Bronx County, New York",1679,870
1500000US360050062003,"Block Group 3, Census Tract 62, Bronx County, New York",2333,642
1500000US360050062004,"Block Group 4, Census Tract 62, Bronx County, New York",1579,716
1500000US360050062005,"Block Group 5, Census Tract 62, Bronx County, New York",342,176
1500000US360050063011,"Block Group 1, Census Tract 63.01, Bronx County, New York",591,226
1500000US360050063012,"Block Group 2, Census Tract 63.01, Bronx County, New York",737,242
1500000US360050063013,"Block Group 3, Census Tract 63.01, Bronx County, New York",819,295
1500000US360050063014,"Block Group 4, Census Tract 63.01, Bronx County, New York",2521,602
1500000US360050063015,"Block Group 5, Census Tract 63.01, Bronx County, New York",0,12
1500000US360050063016,"Block Group 6, Census Tract 63.01, Bronx County, New York",73,98
1500000US360050063021,"Block Group 1, Census Tract 63.02, Bronx County, New York",0,12
1500000US360050064001,"Block Group 1, Census Tract 64, Bronx County, New York",2070,512
1500000US360050064002,"Block Group 2, Census Tract 64, Bronx County, New York",394,218
