station_complex_id,year,annual_weekday_avg_ridership,station_complex,borough,latitude,longitude,geometry,log_ridership,station_complex_name,buffer_area_sqmi,pop_density_0p5mi,pop_rank,population_0p5mi,landuse_entropy_0p5mi,landuse_entropy_relative_0p5mi,landuse_simpson_0p5mi,landuse_k_categories_0p5mi,jobs_0p5mi,intersection_count_0p5mi,intersection_density_0p5mi,citibike_count_0p5mi,pct_hh_no_vehicle_0p5mi,median_hh_income_0p5mi,pct_workers_wfh_0p5mi,pct_car_truck_van_0p5mi,pct_transit_0p5mi,pct_taxicab_0p5mi,pct_bicycle_0p5mi,pct_walked_0p5mi,pct_other_means_0p5mi,pct_wfh_0p5mi,median_hh_income_0p5mi_approx,bus_routes_0p5mi,subway_lines_0p5mi,commuter_lines_0p5mi,dist_to_commuter_stop_ft,dist_to_commuter_stop_mi,transfer_subway_station_complexes_0p25mi,transfer_subway_station_complexes_0p10mi,dist_to_subway_station_complex_ft,dist_to_subway_station_complex_mi,subway_lines_serving_station,is_terminal_subway,has_university_0p25mi,has_university_0p5mi,has_hospital_0p25mi,has_hospital_0p5mi,has_stadium_0p1mi,cultural_count_0p25mi,cultural_count_0p5mi,has_cultural_0p25mi,cultural_count_0p25mi_capped10,has_cultural_0p5mi,cultural_count_0p5mi_capped10,adjacent_major_park_0p25mi,adjacent_major_park_0p5mi
1.0,2023,10944.589743589742,"Astoria-Ditmars Blvd (N,W)",Queens,40.775036,-73.91203,POINT (-73.91203 40.775036),9.300691890971295,"Astoria-Ditmars Blvd (N,W)",0.784137123,41838,299,32807,1.664025458,0.693952516,0.739595976,11,5977,463,590.4579526,21,18.54122528,90862.45925,10.41205361,14.87189848,63.53608935,0.31021066,0.938150782,5.346007333,0.601767219,10.41205361,90358,5,2,0,10925.304,2.069186363,0,0,0.0,0.0,0,0,0,0,0,0,0,4,12,1,4,1,10,0,0
1.0,2024,11068.654088050314,"Astoria-Ditmars Blvd (N,W)",Queens,40.775036,-73.91203,POINT (-73.91203 40.775036),9.311962777522533,"Astoria-Ditmars Blvd (N,W)",0.784137123,41838,299,32807,1.664025458,0.693952516,0.739595976,11,5977,463,590.4579526,21,18.54122528,90862.45925,10.41205361,14.87189848,63.53608935,0.31021066,0.938150782,5.346007333,0.601767219,10.41205361,90358,5,2,0,10925.304,2.069186363,0,0,0.0,0.0,0,0,0,0,0,0,0,4,12,1,4,1,10,0,0
2.0,2023,7803.705128205129,"Astoria Blvd (N,W)",Queens,40.77026,-73.91785,POINT (-73.91785 40.77026),8.962482052377448,"Astoria Blvd (N,W)",0.784137123,49776,226,39031,1.782123577,0.743203257,0.778059889,11,10952,381,485.8844059,18,14.05548281,91735.37454,11.90254755,11.67949035,66.26280686,0.322868043,0.795299447,5.936674836,0.437870442,11.90254755,91171,6,2,0,9800.026435,1.856065613,0,0,0.0,0.0,0,0,0,0,0,1,0,3,14,1,3,1,10,0,1
2.0,2024,8081.603773584906,"Astoria Blvd (N,W)",Queens,40.77026,-73.91785,POINT (-73.91785 40.77026),8.99746934881007,"Astoria Blvd (N,W)",0.784137123,49776,226,39031,1.782123577,0.743203257,0.778059889,11,10952,381,485.8844059,18,14.05548281,91735.37454,11.90254755,11.67949035,66.26280686,0.322868043,0.795299447,5.936674836,0.437870442,11.90254755,91171,6,2,0,9800.026435,1.856065613,0,0,0.0,0.0,0,0,0,0,0,1,0,3,14,1,3,1,10,0,1
3.0,2023,9911.935897435898,"30 Av (N,W)",Queens,40.76678,-73.92148,POINT (-73.92148 40.76678),9.201595839496898,"30 Av (N,W)",0.784137123,56111,184,43999,1.800589606,0.750904189,0.782358168,11,12131,290,369.8332749,21,12.75597703,89983.78374,10.13112549,10.6619855,69.4107883,0.409197633,0.806838634,5.637319016,0.71228559,10.13112549,91048,8,2,0,9187.976575,1.740147079,0,0,0.0,0.0,0,0,0,0,1,1,0,1,9,1,1,1,9,0,0
3.0,2024,10157.264150943396,"30 Av (N,W)",Queens,40.76678,-73.92148,POINT (-73.92148 40.76678),9.22604285525063,"30 Av (N,W)",0.784137123,56111,184,43999,1.800589606,0.750904189,0.782358168,11,12131,290,369.8332749,21,12.75597703,89983.78374,10.13112549,10.6619855,69.4107883,0.409197633,0.806838634,5.637319016,0.71228559,10.13112549,91048,8,2,0,9187.976575,1.740147079,0,0,0.0,0.0,0,0,0,0,1,1,0,1,9,1,1,1,9,0,0
4.0,2023,8925.48717948718,"Broadway (N,W)",Queens,40.76182,-73.92551,POINT (-73.92551 40.76182),9.096778223521344,"Broadway (N,W)",0.784137123,56772,172,44517,1.803719209,0.752209335,0.79117079,11,15469,213,271.6361639,24,11.88621966,87151.64418,10.39872222,9.962191562,69.40779556,0.568498261,1.094444602,5.72349087,0.755352024,10.39872222,86849,8,6,0,8533.718213,1.61623451,0,0,0.0,0.0,0,0,0,0,0,1,0,3,13,1,3,1,10,0,0
4.0,2024,9133.08176100629,"Broadway (N,W)",Queens,40.76182,-73.92551,POINT (-73.92551 40.76182),9.1197679449865,"Broadway (N,W)",0.784137123,56772,172,44517,1.803719209,0.752209335,0.79117079,11,15469,213,271.6361639,24,11.88621966,87151.64418,10.39872222,9.962191562,69.40779556,0.568498261,1.094444602,5.72349087,0.755352024,10.39872222,86849,8,6,0,8533.718213,1.61623451,0,0,0.0,0.0,0,0,0,0,0,1,0,3,13,1,3,1,10,0,0
5.0,2023,4745.775641025642,"36 Av (N,W)",Queens,40.756805,-73.92957,POINT (-73.92957 40.756805),8.46522085411557,"36 Av (N,W)",0.784137123,35178,347,27584,2.15659135,0.899368448,0.872350977,11,18601,224,285.6643226,22,12.1653871,82383.81679,10.35087194,10.44012267,67.64462572,0.672303805,1.681530975,6.608373085,0.626318146,10.35087194,79878,7,6,0,7094.195116,1.34359756,0,0,0.0,0.0,0,0,0,0,0,0,0,1,13,1,1,1,10,0,0
5.0,2024,4910.490566037736,"36 Av (N,W)",Queens,40.756805,-73.92957,POINT (-73.92957 40.756805),8.499332752322635,"36 Av (N,W)",0.784137123,35178,347,27584,2.15659135,0.899368448,0.872350977,11,18601,224,285.6643226,22,12.1653871,82383.81679,10.35087194,10.44012267,67.64462572,0.672303805,1.681530975,6.608373085,0.626318146,10.35087194,79878,7,6,0,7094.195116,1.34359756,0,0,0.0,0.0,0,0,0,0,0,0,0,1,13,1,1,1,10,0,0
