station_complex_id,year,annual_weekday_avg_ridership,station_complex,borough,latitude,longitude,geometry,log_ridership
1.0,2023,10944.589743589742,"Astoria-Ditmars Blvd (N,W)",Queens,40.775036,-73.91203,POINT (-73.91203 40.775036),9.300691890971297
1.0,2024,11068.654088050314,"Astoria-Ditmars Blvd (N,W)",Queens,40.775036,-73.91203,POINT (-73.91203 40.775036),9.311962777522531
2.0,2023,7803.705128205129,"Astoria Blvd (N,W)",Queens,40.77026,-73.91785,POINT (-73.91785 40.77026),8.962482052377448
2.0,2024,8081.603773584906,"Astoria Blvd (N,W)",Queens,40.77026,-73.91785,POINT (-73.91785 40.77026),8.99746934881007
3.0,2023,9911.935897435898,"30 Av (N,W)",Queens,40.76678,-73.92148,POINT (-73.92148 40.76678),9.201595839496898
3.0,2024,10157.264150943396,"30 Av (N,W)",Queens,40.76678,-73.92148,POINT (-73.92148 40.76678),9.22604285525063
4.0,2023,8925.48717948718,"Broadway (N,W)",Queens,40.76182,-73.92551,POINT (-73.92551 40.76182),9.096778223521344
4.0,2024,9133.08176100629,"Broadway (N,W)",Queens,40.76182,-73.92551,POINT (-73.92551 40.76182),9.1197679449865
5.0,2023,4745.775641025642,"36 Av (N,W)",Queens,40.756805,-73.92957,POINT (-73.92957 40.756805),8.46522085411557
5.0,2024,4910.490566037736,"36 Av (N,W)",Queens,40.756805,-73.92957,POINT (-73.92957 40.756805),8.499332752322635
6.0,2023,2659.1923076923076,"39 Av-Dutch Kills (N,W)",Queens,40.75288,-73.932755,POINT (-73.932755 40.75288),7.886153695287433
6.0,2024,2791.3836477987425,"39 Av-Dutch Kills (N,W)",Queens,40.75288,-73.932755,POINT (-73.932755 40.75288),7.934650864112456
8.0,2023,10965.826923076924,"5 Av/59 St (N,R,W)",Manhattan,40.764812,-73.97335,POINT (-73.97335 40.764812),9.302630261025111
8.0,2024,11764.396226415094,"5 Av/59 St (N,R,W)",Manhattan,40.764812,-73.97335,POINT (-73.97335 40.764812),9.37291797899768
