station_complex,station_complex_id,borough,latitude,longitude,geometry,avg_annual_ridership,log_avg_ridership
1 Av (L),119.0,Manhattan,40.730953,-73.98163,POINT (-73.98163 40.730953),18401.758526850506,9.820255852297734
103 St (1),309.0,Manhattan,40.799446,-73.968376,POINT (-73.968376 40.799446),8875.611211901307,9.09117514286928
103 St (6),395.0,Manhattan,40.7906,-73.94748,POINT (-73.94748 40.7906),8480.911889211417,9.045691162007392
"103 St (C,B)",156.0,Manhattan,40.796093,-73.96146,POINT (-73.96146 40.796093),3277.3410135462022,8.095092784871024
103 St-Corona Plaza (7),450.0,Queens,40.749866,-73.8627,POINT (-73.8627 40.749866),19936.477564102563,9.900356534215097
104 St (A),193.0,Queens,40.68171,-73.837685,POINT (-73.837685 40.68171),1269.1048016448958,7.146854697028201
"104 St (J,Z)",82.0,Queens,40.69518,-73.84433,POINT (-73.84433 40.69518),2115.426282051282,7.6574842292345195
110 St (6),394.0,Manhattan,40.79502,-73.94425,POINT (-73.94425 40.79502),6732.242501209483,8.814812104710812
111 St (7),449.0,Queens,40.75173,-73.85533,POINT (-73.85533 40.75173),6383.826257861635,8.761679557111549
111 St (A),194.0,Queens,40.68433,-73.83216,POINT (-73.83216 40.68433),1633.0129414610547,7.398794195499389
111 St (J),81.0,Queens,40.69742,-73.83634,POINT (-73.83634 40.69742),1650.770924044509,7.409603278633306
"116 St (2,3)",440.0,Manhattan,40.802097,-73.94962,POINT (-73.94962 40.802097),6178.9101354620225,8.729059009158638
116 St (6),393.0,Manhattan,40.79863,-73.94162,POINT (-73.94162 40.79863),8893.895440251572,9.093232845140635
"116 St (C,B)",154.0,Manhattan,40.805084,-73.95488,POINT (-73.95488 40.805084),4606.427128688922,8.435424873616178
116 St-Columbia University (1),307.0,Manhattan,40.80772,-73.96411,POINT (-73.96411 40.80772),11143.203797774553,9.318674802960636
"121 St (J,Z)",80.0,Queens,40.700493,-73.82829,POINT (-73.82829 40.700493),1662.9179970972425,7.4169303395762265
125 St (1),306.0,Manhattan,40.815582,-73.958374,POINT (-73.958374 40.815582),6426.772012578616,8.768383258365711
"125 St (2,3)",439.0,Manhattan,40.807755,-73.945496,POINT (-73.945496 40.807755),8855.033986453798,9.08885431205656
"125 St (4,5,6)",392.0,Manhattan,40.80414,-73.93759,POINT (-73.93759 40.80414),16700.455007256896,9.723251120792629
"125 St (A,C,B,D)",153.0,Manhattan,40.811108,-73.95235,POINT (-73.95235 40.811108),18301.690916787615,9.814803372652714
"135 St (2,3)",438.0,Manhattan,40.814228,-73.94077,POINT (-73.94077 40.814228),7199.292392356072,8.881876914229036
"135 St (C,B)",152.0,Manhattan,40.817894,-73.94765,POINT (-73.94765 40.817894),3785.7800556361876,8.239271347428831
137 St-City College (1),305.0,Manhattan,40.822006,-73.953674,POINT (-73.953674 40.822006),8579.733551040154,9.057274684286705
