station_complex,station_complex_id,borough,latitude,longitude,geometry,year,annual_weekday_avg_ridership,log_ridership
1 Av (L),119.0,Manhattan,40.730953,-73.98163,POINT (-73.98163 40.730953),2023,17737.403846153848,9.783487276965188
1 Av (L),119.0,Manhattan,40.730953,-73.98163,POINT (-73.98163 40.730953),2024,19066.11320754717,9.855720308401786
103 St (1),309.0,Manhattan,40.799446,-73.968376,POINT (-73.968376 40.799446),2023,8938.455128205129,9.098229918682115
103 St (1),309.0,Manhattan,40.799446,-73.968376,POINT (-73.968376 40.799446),2024,8812.767295597485,9.08407024337397
103 St (6),395.0,Manhattan,40.7906,-73.94748,POINT (-73.94748 40.7906),2023,8700.99358974359,9.071307426638615
103 St (6),395.0,Manhattan,40.7906,-73.94748,POINT (-73.94748 40.7906),2024,8260.830188679245,9.019401414450796
"103 St (C,B)",156.0,Manhattan,40.796093,-73.96146,POINT (-73.96146 40.796093),2023,3259.1474358974356,8.08952769907351
"103 St (C,B)",156.0,Manhattan,40.796093,-73.96146,POINT (-73.96146 40.796093),2024,3295.534591194969,8.100627071807862
103 St-Corona Plaza (7),450.0,Queens,40.749866,-73.8627,POINT (-73.8627 40.749866),2023,20324.621794871793,9.919637526561685
103 St-Corona Plaza (7),450.0,Queens,40.749866,-73.8627,POINT (-73.8627 40.749866),2024,19548.333333333332,9.880696464235312
104 St (A),193.0,Queens,40.68171,-73.837685,POINT (-73.837685 40.68171),2023,1282.7756410256409,7.157560734578365
104 St (A),193.0,Queens,40.68171,-73.837685,POINT (-73.837685 40.68171),2024,1255.433962264151,7.136032798709649
"104 St (J,Z)",82.0,Queens,40.69518,-73.84433,POINT (-73.84433 40.69518),2023,2128.519230769231,7.663651519972518
"104 St (J,Z)",82.0,Queens,40.69518,-73.84433,POINT (-73.84433 40.69518),2024,2102.3333333333335,7.6512786668671495
110 St (6),394.0,Manhattan,40.79502,-73.94425,POINT (-73.94425 40.79502),2023,6831.371794871795,8.829427153611803
110 St (6),394.0,Manhattan,40.79502,-73.94425,POINT (-73.94425 40.79502),2024,6633.11320754717,8.799980284110744
111 St (7),449.0,Queens,40.75173,-73.85533,POINT (-73.85533 40.75173),2023,6310.25,8.750089034173126
111 St (7),449.0,Queens,40.75173,-73.85533,POINT (-73.85533 40.75173),2024,6457.40251572327,8.773137277608054
111 St (A),194.0,Queens,40.68433,-73.83216,POINT (-73.83216 40.68433),2023,1658.3717948717947,7.414194372901083
111 St (A),194.0,Queens,40.68433,-73.83216,POINT (-73.83216 40.68433),2024,1607.6540880503146,7.383153138205514
111 St (J),81.0,Queens,40.69742,-73.83634,POINT (-73.83634 40.69742),2023,1637.3846153846155,7.401466044777064
111 St (J),81.0,Queens,40.69742,-73.83634,POINT (-73.83634 40.69742),2024,1664.1572327044025,7.417674832012628
"116 St (2,3)",440.0,Manhattan,40.802097,-73.94962,POINT (-73.94962 40.802097),2023,6323.807692307692,8.752234908755268
"116 St (2,3)",440.0,Manhattan,40.802097,-73.94962,POINT (-73.94962 40.802097),2024,6034.012578616353,8.705333217807231
116 St (6),393.0,Manhattan,40.79863,-73.94162,POINT (-73.94162 40.79863),2023,8910.583333333332,9.095107207633035
116 St (6),393.0,Manhattan,40.79863,-73.94162,POINT (-73.94162 40.79863),2024,8877.207547169812,9.091354962815005
"116 St (C,B)",154.0,Manhattan,40.805084,-73.95488,POINT (-73.95488 40.805084),2023,4670.942307692308,8.449330175907056
"116 St (C,B)",154.0,Manhattan,40.805084,-73.95488,POINT (-73.95488 40.805084),2024,4541.911949685535,8.421323484036368
116 St-Columbia University (1),307.0,Manhattan,40.80772,-73.96411,POINT (-73.96411 40.80772),2023,11333.935897435897,9.3356449076487
116 St-Columbia University (1),307.0,Manhattan,40.80772,-73.96411,POINT (-73.96411 40.80772),2024,10952.471698113208,9.3014117350509
"121 St (J,Z)",80.0,Queens,40.700493,-73.82829,POINT (-73.82829 40.700493),2023,1712.9743589743591,7.4465701392875765
"121 St (J,Z)",80.0,Queens,40.700493,-73.82829,POINT (-73.82829 40.700493),2024,1612.861635220126,7.386385117286479
125 St (1),306.0,Manhattan,40.815582,-73.958374,POINT (-73.958374 40.815582),2023,6399.166666666667,8.764079310675351
125 St (1),306.0,Manhattan,40.815582,-73.958374,POINT (-73.958374 40.815582),2024,6454.377358490566,8.772668761446635
"125 St (2,3)",439.0,Manhattan,40.807755,-73.945496,POINT (-73.945496 40.807755),2023,8378.602564102564,9.033555765633375
"125 St (2,3)",439.0,Manhattan,40.807755,-73.945496,POINT (-73.945496 40.807755),2024,9331.465408805032,9.141254504251469
"125 St (4,5,6)",392.0,Manhattan,40.80414,-73.93759,POINT (-73.93759 40.80414),2023,15936.564102564103,9.676434124014362
"125 St (4,5,6)",392.0,Manhattan,40.80414,-73.93759,POINT (-73.93759 40.80414),2024,17464.345911949687,9.767973963053938
"125 St (A,C,B,D)",153.0,Manhattan,40.811108,-73.95235,POINT (-73.95235 40.811108),2023,17839.903846153848,9.7892490688727
"125 St (A,C,B,D)",153.0,Manhattan,40.811108,-73.95235,POINT (-73.95235 40.811108),2024,18763.477987421385,9.839720892766055
"135 St (2,3)",438.0,Manhattan,40.814228,-73.94077,POINT (-73.94077 40.814228),2023,7163.99358974359,8.876962445599428
"135 St (2,3)",438.0,Manhattan,40.814228,-73.94077,POINT (-73.94077 40.814228),2024,7234.591194968553,8.88676734892262
"135 St (C,B)",152.0,Manhattan,40.817894,-73.94765,POINT (-73.94765 40.817894),2023,3699.019230769231,8.216093296124006
"135 St (C,B)",152.0,Manhattan,40.817894,-73.94765,POINT (-73.94765 40.817894),2024,3872.5408805031443,8.261924323908906
137 St-City College (1),305.0,Manhattan,40.822006,-73.953674,POINT (-73.953674 40.822006),2023,8728.423076923076,9.0744545615323
137 St-City College (1),305.0,Manhattan,40.822006,-73.953674,POINT (-73.953674 40.822006),2024,8431.044025157233,9.039794491967374
"138 St-Grand Concourse (4,5)",391.0,Bronx,40.813225,-73.92985,POINT (-73.92985 40.813225),2023,2575.525641025641,7.854197119601407
"138 St-Grand Concourse (4,5)",391.0,Bronx,40.813225,-73.92985,POINT (-73.92985 40.813225),2024,2661.3522012578615,7.88696529721222
"14 St (A,C,E)/8 Av (L)",618.0,Manhattan,40.740894,-74.00169,POINT (-74.00169 40.740894),2023,33997.17307692308,10.434062069122954
"14 St (A,C,E)/8 Av (L)",618.0,Manhattan,40.740894,-74.00169,POINT (-74.00169 40.740894),2024,35802.622641509435,10.485804358372933
"14 St (F,M,1,2,3)/6 Av (L)",601.0,Manhattan,40.738228,-73.99621,POINT (-73.99621 40.738228),2023,36498.192307692305,10.505045410769368
"14 St (F,M,1,2,3)/6 Av (L)",601.0,Manhattan,40.738228,-73.99621,POINT (-73.99621 40.738228),2024,32327.849056603773,10.383715270228189
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",602.0,Manhattan,40.735737,-73.98995,POINT (-73.98995 40.735737),2023,67794.90384615384,11.124257056854944
"14 St-Union Sq (L,N,Q,R,W,4,5,6)",602.0,Manhattan,40.735737,-73.98995,POINT (-73.98995 40.735737),2024,70842.56603773584,11.168229429954122
145 St (1),304.0,Manhattan,40.82655,-73.95036,POINT (-73.95036 40.82655),2023,6516.442307692308,8.782237293860891
145 St (1),304.0,Manhattan,40.82655,-73.95036,POINT (-73.95036 40.82655),2024,6304.11320754717,8.749116203439598
145 St (3),437.0,Manhattan,40.82042,-73.93625,POINT (-73.93625 40.82042),2023,2014.8782051282053,7.608810213243339
