station_complex_id,station_complex_name,buffer_area_sqmi,pop_density_0p5mi,pop_rank,population_0p5mi,landuse_entropy_0p5mi,landuse_entropy_relative_0p5mi,landuse_simpson_0p5mi,landuse_k_categories_0p5mi,jobs_0p5mi,intersection_count_0p5mi,intersection_density_0p5mi,citibike_count_0p5mi,pct_hh_no_vehicle_0p5mi,median_hh_income_0p5mi,pct_workers_wfh_0p5mi,pct_car_truck_van_0p5mi,pct_transit_0p5mi,pct_taxicab_0p5mi,pct_bicycle_0p5mi,pct_walked_0p5mi,pct_other_means_0p5mi,pct_wfh_0p5mi,median_hh_income_0p5mi_approx,bus_routes_0p5mi,subway_lines_0p5mi,commuter_lines_0p5mi,dist_to_commuter_stop_ft,dist_to_commuter_stop_mi,transfer_subway_station_complexes_0p25mi,transfer_subway_station_complexes_0p10mi,dist_to_subway_station_complex_ft,dist_to_subway_station_complex_mi,subway_lines_serving_station,is_terminal_subway,has_university_0p25mi,has_university_0p5mi,has_hospital_0p25mi,has_hospital_0p5mi,has_stadium_0p1mi,cultural_count_0p25mi,cultural_count_0p5mi,has_cultural_0p25mi,cultural_count_0p25mi_capped10,has_cultural_0p5mi,cultural_count_0p5mi_capped10,adjacent_major_park_0p25mi,adjacent_major_park_0p5mi
293,Van Cortlandt Park-242 St (1),0.784137123,21362,411,16751,1.576416256,0.657416641,0.682475433,11,5950,371,473.1315344,9,34.69748033,75240.69993,8.004018594,31.06768668,46.46697476,1.402077171,0.452470331,8.521938679,0.453821658,8.004018594,73603,11,1,0,6419.320827,1.21578046,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1
294,238 St (1),0.784137123,39234,322,30765,2.03586765,0.849022755,0.839954566,11,7932,445,567.5027838,18,30.75351287,67744.68848,7.269193866,25.80982593,51.88367678,1.374661128,0.399433648,6.980468864,1.241340237,7.269193866,67034,10,1,0,4683.159876,0.886962098,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,1,4,1,1
295,231 St (1),0.784137123,55807,189,43760,2.04220241,0.851664555,0.841080178,11,7227,483,615.9636957,21,25.19786326,57556.26308,5.364990593,20.89376877,58.76908805,1.327900674,1.296016253,6.262351446,1.698429492,5.364990593,56674,11,1,1,2359.635421,0.446900648,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,3,0,0
296,Marble Hill-225 St (1),0.784137123,49359,237,38704,2.241515982,0.934784771,0.87831444,11,7901,437,557.3004866,18,20.72429239,58538.87322,6.247171292,17.54074238,60.45416175,1.440453269,1.538086813,7.128068176,2.196470252,6.247171292,59890,12,1,1,318.0173062,0.06023055,0,0,0,0,0,0,0,0,1,1,0,1,6,1,1,1,6,0,1
297,215 St (1),0.784137123,37445,334,29362,2.047247853,0.853768668,0.832655118,11,5450,269,343.0522446,13,14.85305705,64709.13075,8.612342878,11.37642102,64.36091859,0.88969039,0.524486362,9.245967183,0.928685792,8.612342878,67005,8,2,1,2147.615832,0.406745423,0,0,0,0,0,0,0,0,0,1,0,8,15,1,8,1,10,0,1
298,207 St (1),0.784137123,61989,137,48608,2.129959783,0.888262222,0.859116771,11,5928,404,515.2160105,18,12.570997,58736.173,8.199432495,8.866309781,64.82509476,1.006497212,0.200723601,11.6033321,1.287656524,8.199432495,59163,6,2,1,1798.606801,0.340645227,0,0,0,0,0,0,0,0,0,0,0,3,18,1,3,1,10,0,1
299,Dyckman St (1),0.784137123,81310,55,63758,1.963544909,0.818861829,0.824003451,11,7086,401,511.390149,20,12.04372765,54367.96321,7.566359251,8.696062902,66.98761158,0.947776,0.198335481,11.31137378,0.879555788,7.566359251,54092,9,2,0,2818.739101,0.533852102,0,0,0,0,0,0,0,0,0,0,0,5,17,1,5,1,10,1,1
300,191 St (1),0.784137123,85922,45,67375,1.880147296,0.784082323,0.821490089,11,11343,406,517.7665848,19,10.50226452,60122.30724,8.237979625,7.308409685,69.31087324,0.58903197,0.435155617,10.36163152,0.550327346,8.237979625,59469,11,2,0,2742.079283,0.519333198,0,0,0,0,0,0,0,1,0,0,0,6,25,1,6,1,10,1,1
301,181 St (1),0.784137123,99526,19,78042,1.910275953,0.796646949,0.825184927,11,11230,798,1017.679149,18,13.06967698,60599.02217,7.187786101,8.904702318,67.80253465,0.419051894,0.54492438,9.924243048,1.012496169,7.187786101,67889,12,2,0,4244.984897,0.803974412,0,0,0,0,0,0,1,1,0,0,0,16,39,1,10,1,10,1,1
605,"168 St-Washington Hts (1,A,C)",0.784137123,80830,57,63382,1.696153105,0.736629934,0.754011412,10,24457,472,601.935537,17,12.15688126,46982.55575,6.078537836,8.148960073,65.70887621,0.446274202,0.688475553,14.44562616,0.420972308,6.078537836,53861,8,3,0,2883.36319,0.546091513,0,0,0,0,0,0,0,0,1,1,0,6,18,1,6,1,10,1,1
